DATE,GDPGrothRate,InflationRate,GDPBillionUSD,ExportValueBillionUSD,ImportValueBillionUSD,UnemploymentRate,CurrentAccountDeficit
12/31/2009,7.8619,10.8824,1341.8866027987,273.75183638713,347.17760208415,5.546,-73.425765697026
12/31/2010,8.4976,11.9894,1675.6153356006,375.35347283494,449.97432081857,5.426,-74.620847983636
12/31/2011,5.2413,8.9118,1823.0499277721,447.38395083626,566.66715357407,5.414,-119.28320273781
12/31/2012,5.4564,9.479,1827.6378595062,448.40054329147,571.306638044,5.424,-122.90609475253
12/31/2013,6.3861,10.0179,1856.7221213944,472.1804274279,527.55548149893,5.436,-55.375054071029
12/31/2014,7.4102,6.6657,2039.1274462993,468.34603755422,529.23967934338,5.435,-60.893641789165
12/31/2015,7.9963,4.907,2103.5878138128,416.78783262179,465.09747465575,5.423,-48.309642033955
12/31/2016,8.2563,4.9482,2294.797980509,439.6427878295,480.16928485657,5.358,-40.526497027075
12/31/2017,6.7954,3.3282,2651.4729463751,498.25856086038,582.0177235664,5.33,-83.759162706016
12/31/2018,6.4539,3.9388,2702.9297189605,538.63520154198,640.30082505302,5.27,-101.66562351104
12/31/2019,3.7379,3.7295,2831.55222252,529.24493626246,602.31491162673,7.997,-73.069975364261
12/31/2020,-6.5961,6.6234,2667.6879517965,499.09503617514,509.43382637925,5.978,-10.338790204109
12/31/2021,8.6812,5.1314,3176.2950654972,679.68058635991,758.87188954135,,-79.191303181444
